r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,klasa
0,0,0,0,0,0,0,0,0,149,2287,20912,32873,9225,90,0,0,0,0,0,0,0,0,0,225,2408,20950,32785,8982,186,0,0,0,0,0,0,0,0,12,598,5203,29807,26579,3278,59,0,0,0,agata
0,0,0,0,0,0,0,0,0,245,4212,38781,66155,21393,286,0,0,0,0,0,0,0,0,0,418,4435,38438,65984,21268,529,0,0,0,0,0,0,0,0,15,1127,9119,55333,56679,8602,197,0,0,0,agata
0,0,0,0,0,0,0,0,0,337,6011,54982,98667,35916,695,0,0,0,0,0,0,0,0,0,575,6307,54668,98856,35160,1042,0,0,0,0,0,0,0,0,20,1610,12889,79751,87018,14943,377,0,0,0,agata
0,0,0,0,0,0,0,0,0,436,7994,72940,131897,47961,916,0,0,0,0,0,0,0,0,0,763,8319,72395,132011,47238,1418,0,0,0,0,0,0,0,0,29,2122,17098,105703,116470,20189,533,0,0,0,agata
0,0,0,0,0,0,0,0,0,565,10287,93291,164471,58029,1037,0,0,0,0,0,0,0,0,0,959,10538,92068,164720,57706,1689,0,0,0,0,0,0,0,0,36,2681,21818,133691,144382,24430,642,0,0,0,agata
0,0,0,0,0,0,0,0,0,647,12246,110908,197214,70891,1310,0,0,0,0,0,0,0,0,0,1106,12468,109261,198037,70229,2115,0,0,0,0,0,0,0,0,40,3168,25705,159309,174238,29965,791,0,0,0,agata
0,0,0,0,0,0,0,0,0,749,14209,128791,229471,83892,1640,0,0,0,0,0,0,0,0,0,1291,14499,127066,230832,82517,2547,0,0,0,0,0,0,0,0,52,3666,29809,185385,203499,35393,948,0,0,0,agata
0,0,0,0,0,0,0,0,0,878,16127,146694,261651,96998,1940,0,0,0,0,0,0,0,0,0,1507,16483,145090,263516,94764,2928,0,0,0,0,0,0,0,0,63,4191,33997,211178,232912,40845,1102,0,0,0,agata
0,0,0,0,0,0,0,0,0,1033,18351,165690,293421,109086,2243,0,0,0,0,0,0,0,0,0,1746,18722,163879,295771,106359,3347,0,0,0,0,0,0,0,0,76,4799,38632,238292,261117,45671,1237,0,0,0,agata
0,0,0,0,0,0,0,0,0,1154,20427,183542,325662,121918,2657,0,0,0,0,0,0,0,0,0,1920,20822,181591,328769,118442,3816,0,0,0,0,0,0,0,0,81,5331,42768,264393,290156,51227,1404,0,0,0,agata
0,0,0,0,0,0,0,0,0,1282,23026,203376,358040,132378,2794,0,0,0,0,0,0,0,0,0,2120,23260,200849,361405,129162,4100,0,0,0,0,0,0,0,0,87,5903,47706,291940,318145,55590,1525,0,0,0,agata
0,0,0,0,1,41,2435,19177,28610,15777,23784,203395,358040,132378,2794,0,0,0,0,6,1735,21853,30170,11228,2648,23276,200849,361405,129162,4100,0,0,0,75,18622,40963,5627,246,90,5903,47706,291940,318145,55590,1525,0,0,0,antique
0,0,0,0,1,41,2435,19183,28803,19628,46236,231155,368338,133313,2835,0,0,0,0,6,1735,21860,30492,20167,33031,45413,204369,361620,129175,4100,0,0,0,75,18623,41293,29163,36471,5185,6233,47725,291940,318145,55590,1525,0,0,0,antique
0,0,0,0,1,41,2435,19183,28879,21201,57386,253118,389855,140783,4505,0,0,0,0,6,1735,21861,30629,23476,50133,71444,218753,365540,129807,4120,0,0,0,75,18623,41473,38056,68636,23856,11168,48409,291948,318145,55590,1525,0,0,0,antique
0,0,0,0,1,41,2435,19186,29136,24766,69453,272668,410005,148550,6492,0,0,0,0,6,1735,21864,31033,29488,66677,94930,233281,369085,130782,4159,0,0,0,75,18623,42083,50708,97050,42210,15526,49525,291980,318145,55590,1525,0,0,0,antique
0,0,0,0,1,41,2435,19191,29313,27292,79573,295014,432859,155169,7334,0,0,0,0,6,1735,21870,31292,33523,82098,122650,248190,371889,131160,4163,0,0,0,75,18623,42389,59812,130270,61002,19184,49978,291983,318145,55590,1525,0,0,0,antique
0,0,0,0,1,41,2435,19200,29542,30344,91682,315658,452674,162838,9198,0,0,0,0,6,1735,21878,31611,38387,98726,146902,262956,375489,132191,4231,0,0,0,75,18623,42868,70650,159218,80075,23958,51307,292078,318145,55590,1525,0,0,0,antique
0,0,0,0,1,41,2435,19202,29691,33627,109719,342137,467638,165314,9344,0,0,0,0,6,1735,21880,31829,44728,123755,172717,270351,376178,132238,4231,0,0,0,75,18624,43017,86267,198594,89574,24788,51371,292078,318145,55590,1525,0,0,0,antique
0,0,0,0,1,41,2435,19208,29968,38791,129492,368056,480819,166409,9463,0,0,0,0,6,1735,21886,32238,53779,149312,197914,275265,376531,132287,4231,0,0,0,75,18624,43313,105522,237488,96114,25283,51427,292078,318145,55590,1525,0,0,0,antique
0,0,0,0,1,41,2435,19224,30557,43417,143102,389130,499677,172701,9925,0,0,0,0,6,1735,21902,32902,60027,167094,222347,288750,379232,132494,4231,0,0,0,75,18624,43952,116882,269359,113634,29126,51730,292078,318145,55590,1525,0,0,0,antique
0,0,0,0,1,41,2435,19227,30791,47593,159690,413953,516049,175690,10255,0,0,0,0,6,1735,21905,33320,67708,189301,247665,297389,380332,132664,4231,0,0,0,75,18625,44503,135391,303029,124551,30693,52045,292084,318145,55590,1525,0,0,0,antique
0,0,0,0,1,41,2435,19234,31076,52817,183542,440363,525066,176402,10284,0,0,0,0,6,1735,21912,33690,76984,219145,270008,300841,380564,132676,4231,0,0,0,75,18625,44878,157728,339309,130595,31173,52065,292084,318145,55590,1525,0,0,0,antique
0,0,0,0,1,41,2435,19243,31323,57640,206650,466749,535132,177265,10318,0,0,0,0,6,1735,21923,34021,85853,248521,292879,304654,380816,132689,4231,0,0,0,75,18626,45212,179145,375822,137305,31708,52091,292084,318145,55590,1525,0,0,0,antique
0,0,0,0,1,41,2435,19253,31475,60128,221086,493167,553665,180337,10734,0,0,0,0,6,1735,21933,34219,90326,269245,321845,314454,382001,132868,4232,0,0,0,75,18626,45362,189652,414194,151769,33479,52362,292085,318145,55590,1525,0,0,0,antique
0,0,0,0,1,41,2435,19255,31563,62037,231594,515069,574496,188617,12698,0,0,0,0,6,1735,21934,34346,93609,284969,347901,329449,386450,133762,4239,0,0,0,75,18626,45483,196881,445401,171628,39391,53560,292095,318145,55590,1525,0,0,0,antique
